# 録音_20260414_175957
検出言語: ja (確信度: 1.00)
音声時間: 1090.3秒

---

[00:00] ボートマカラさんから 自己紹介をお願いします
[06:30] やりたいことはガスリンスタンドを作りたいです
[06:37] それはえっと自分の国でカンボジアで カンボジアでやりたい
[06:43] ああなるほど わかりました
[06:46] えどうして日本に来たんですか えっと日本の文化と生活
[06:54] 知りたいですから うーん
[06:57] わかりましたありがとうございます はい
[07:03] じゃあ次の方ですねバンランさんよろしいですか はい
[07:10] はい えっとバンランさんは
[07:13] えっと 今回
[07:18] どうして仕事新しい仕事をやりたいですか なんか北のところで済んでみたくて経験もしたいですから
[07:29] 日本の他のところでも経験をしたいですね わかりました
[07:36] どうして日本に来たんですか 日本
[07:42] 日本は好きです 日本好き
[07:45] なんか日本の文化とかなんか日本はあの安全な国だから なんか
[07:53] 古興味があって日本に来ました そうなんですね
[07:58] わかりました えっと今はあれですね飲食料品製造で特定技能2号も撮ったんですね
[08:10] 取りました 日本語のレベルはいくつですか
[08:14] あの3ぐらいです n さん はい
[08:18] わかりました えっと
[08:23] これからやりたい仕事どんな仕事にやりたいですか まあなるべくあれ
[08:32] お弁当の会社とか うん
[08:35] してみたいです あお弁当の会社
[08:40] なるほどどうしてお弁当がいいんですか なんか今飲食料品捨てるからなんか
[08:50] なんか あれまあ飲食
[08:53] まあ私に似合うかなと思う なるほどですね今は飲食料品で毎日どんな仕事をしてるんですか
[09:05] なが豆腐加工です 豆腐の加工はい
[09:10] おなるほど わかりました
[09:13] えっとバンランさんの将来の夢とかやりたいことを教えてください 言う
[09:23] か とかなりたいです
[09:27] 何になりたい 宇宙薬舎とか日本語の強水とかなりたいです
[09:33] ああなるほど それは8いつかカンボジアで日本語の教師とかやりたい
[09:41] はいそうです じゃあもう日本をたくさん勉強するんですね
[09:46] はい勉強頑張ってますわかりましたありがとうございます ありがとうございますはいえっとじゃあ次の方
[09:55] 8 ですねー
[09:58] キャラさんはいるのかな キャラさん
[10:09] みんなてんぐらく変わって どうかにあったカメラのところ
[10:15] はい
[10:20] ええー もしわけありませんであの保護者さんに方が
[10:26] たぶん うちの会社一生懸命でなくしなんですけどなかなか変知しなかったんで今どうしよう
[10:35] なっているんですよ なるほどたぶんみんな自分の
[10:41] 8作業中遅くなってと思っています 今ありましたなっておりました
[10:51] わかりましたじゃあ えっと今日は2人だけですいいですかね
[10:58] はいはいはい じゃあなんかもし明日がもうちょっと時間か
[11:04] 入ってるならまた面接可能性があるなんでしょうか そうですねあの
[11:12] 一応まだああえと採用はやるので 大丈夫です
[11:20] はいはいはいはいもしわかりますはい なのでえっと採用が
[11:27] いっぱいになるまでは面接は大丈夫だね あああはいわかりました
[11:35] はいえっとじゃあですねえマカラーさんに 最後なにか質問したいことはありますか
[11:47] すっ 入社する前に勉強しておいた方がいいこともあれ前教えてください
[11:58] わかりました えっと今回まあ東京
[12:03] もし採用したら東京に来て働きますが あの東京は結構日本人たくさんいます
[12:14] はいで電車 電車とかバスを使って移動することも多いので
[12:24] はい日本語をもっと勉強しておくといいと思いますはい頑張ります はい
[12:32] あの もっと質問してもいいですかはいどうぞ
[12:38] あるようから会社まで何でいけますか 会社までは電車ですね
[12:45] ああめにしですねはい電車とあと歩く でいけます
[12:52] はいお近いですね歩くもいける あ歩くはちょっと遠い
[12:59] ああはい何分くらいですか えっと電車で8に30分ぐらいですね
[13:07] ああそうですかはいわかりましたはい もうちょっといいですかあのあるようは一人で
[13:19] 家賃いくらですか えっと大体家賃が8をおまんから6万ぐらいになります
[13:29] 東京はそうですかはいはい でも例えば2人か3年一緒にかすして
[13:40] あんまりかからないですね そうですねあの6万ぐらいで2人で済むと
[13:47] 一人3万ぐらいになるので安くはなります はい私一緒にかすしたいで
[13:54] ああなるほど わかりましたはい
[14:00] 今は今は誰かと一緒ですか 今はインドネシア人ともらうチーフ2人
[14:08] 私と3人3人でかすすめ インドネシアの友達と3人なんですね
[14:16] えっとあちトークショーの仕事は 何人いますか日本人以外は日本人以外はベトナム
[14:29] ベトナムとかメンバー ネパールとかいます
[14:36] 色々ですねいろいろ多いです 今はいないですね
[14:44] 私は初めてそうですねはい じゃないです
[14:51] はい質問は大丈夫ですか はい大丈夫でありがとうございましたはい
[14:57] じゃあ次バンランさん何か質問聞きたいことはありますか ありますはいどうぞ
[15:05] その会社の仕事内容はどんな仕事ですか 仕事はあの私たちが紹介している f tg フーズというところは
[15:16] えっとお肉を切ったり お肉を調理してお弁当を作る会社です
[15:24] はいわかりましたはい あの利用はシャタクとかありますか
[15:29] えっと社宅は今はないんですけれども あのもし新しい方が来るときには会社でお家を用意します
[15:39] はいわかりました で
[15:43] 一級とか1 c 感の半分くらいですかいくらくらいですか 時給ですか
[15:49] 時給は1226円になります はい
[15:56] あの産業台とか月に何 リーカンぐらいですか
[16:02] えっと残業は月に30時間ぐらい残業をします で給料は大体25万から26万です
[16:14] はいわかりました あのも資金定日程とかシフトによるですか
[16:21] シフトは昼と夜2つあります交代です 1ヶ月1ヶ月1ヶ月1ヶ月ごとに変わりますか
[16:33] えっと1ヶ月ごとに変わらないで3ヶ月ごとに変わる3ヶ月ぐらい はいわかりましたはい
[16:43] あのー 潮容とかありますか潮容と小級とかありますか
[16:49] 小級はありますが潮容ボーナスはないです はいわかりました
[16:58] はどうはどうですか いいようです大丈夫ですか
[17:04] 何をですはいわかりました もっと他は皆さん聞きたいこと大丈夫ですかないですか
[17:14] えっ 聞きたいことないけど自分のことをもっと教えた
[17:21] あのおい調整と誕生 お願いします
[17:26] はい私の調整は責任感が強いことです 誕生は心配状なことです
[17:35] うーんはい以上で よろしくお願い致します
[17:39] はいどうもありがとうございました はい
[17:43] じゃあえーとこれで面接はですね以上になります ディッドさんありがとうございます
[17:50] ありがとうございますはいじゃあお時間をいただき ありがとうございましたはいはい
[17:57] それではしますじゃあまた監督の方と 打ち合わせして連絡しますね
[18:02] はいはいはいお願いします 失礼します
