# 2026-04-07 12.33(2)
検出言語: ja (確信度: 1.00)
音声時間: 1485.5秒
[13:18] 会社の理念やりたいことが決まってる
[13:20] それに対して
[13:22] 自分自身に理念ないと
[13:24] さっき言ったみたいに
[13:26] 会社の指示命令だけで動く人が
[13:28] 違います
[13:31] 自分にやりたいことができた時に
[13:33] それを会社の理念、チームの理念
[13:35] 地方の理念とリークさせた
[13:37] 3つの理念がピタッと当て上がるような
[13:39] 本当になった時には
[13:41] これが本当にすごく
[13:43] パワーが出るんですよ
[13:45] やってることが楽しいし
[13:47] 会社の事が楽しいし仕事が
[13:49] 本当に楽しくなるので
[13:51] そんな人生をみなさまに
[13:53] 歩いてほしいと思うので
[13:55] これは本当に
[13:57] マニュアルとかレイアルで作れない
[13:59] 会社の文化だと思うので
[14:01] これを今年からまた引き続き
[14:03] 作っている文化が出てきたいと思っています
[14:05] 会社早期としては2つ
[14:07] とにかくビラリット組織のトップが
[14:09] 強くて強い組織というのを
[14:11] 抜本的に
[14:13] ドラスティックに変えてきます
[14:15] あくまでもみなさまに
[14:17] 右アウト自立文さん方
[14:19] 一人一人が主人公になれるな
[14:21] 最強の組織というのを
[14:23] 目指すような
[14:25] なのでMTGというのは個人に
[14:28] 先に新卒の方も言っていただいたとおりで
[14:30] 会長、部会長から僕もそうですけど
[14:32] 役員人も楽しく来てもらって
[14:34] とにかくやっぱり
[14:36] 皆さんに対しては徹底的に
[14:38] お金の時間をかけているけど
[14:40] 会社の中で本説を取っているので
[14:42] とにかく一人投資をしていく
[14:44] ということは
[14:46] 今年後に引き続きやっていこうと思っています
[14:48] もう一つが
[14:50] ホーディングス戦
[14:52] 昨年から買いたんですけども
[14:54] これはあくまでも
[14:56] 会社の中の事業じゃなくて
[14:58] 世の中のお客さんに
[15:00] 届ける形の会社を作っている
[15:02] 生初めガンスさんから
[15:04] 行けるやろって会社を作って
[15:06] もう議会者を作ってきながら
[15:08] これから
[15:10] 本当の会社になるような
[15:12] 組織していきたい
[15:14] 行けるやろでしていきたいと思っていますので
[15:16] これは単純に形を変えただけじゃなくて
[15:19] それとしてはメッセージなんです
[15:22] 実質する組織の充滿というのは
[15:24] 会社はもとどろえたので
[15:26] 皆さんがこれから自立して
[15:28] 世の中に価値を与えていくメンバーになっていく
[15:30] ということの会社の仕様だと思っていただければ
[15:32] で
[15:35] みなさんで終わっても
[15:38] ぜひ名前書いてください
[15:40] これをなくしたら実質です
[15:42] これがあったら研修受けられないようにしているので
[15:46] 実質でいくらしくて
[15:49] 実質でいくらしくて
[15:51] 無くさないんです
[15:53] でもなくしてもいいんですよ
[15:56] なくしてもいいんじゃないの
[15:58] とりあえず
[16:00] なくしたらやってください
[16:02] この中の15名名詞に
[16:04] 書いてあるんですけども
[16:15] さっき議会者は言ったんですけども
[16:17] 土がよくなければ
[16:19] 寝庫がしっかりしなければいい
[16:21] 蜜は育たないし
[16:23] エンダーハンもできないし
[16:25] かじすが育たないので
[16:27] とりあえず
[16:29] 蜂二年というのはそこに一番ある
[16:31] 土が寝っぽなと思ってもらえています
[16:33] で
[16:35] これから目指す組織というのは
[16:37] アベンチャーズの組織です
[16:39] アベンチャーズ見たことありますが
[16:42] 実はちょっとしか見ません
[16:44] 一人が主人公の映画なんですね
[16:46] だけども
[16:48] 個性が一つのチームになると
[16:50] これまた最強のチームになるみたいな
[16:52] ような映画らしいです
[16:54] このまま見てないけど
[17:00] 一局このアベンチャーズって
[17:02] 主人公の集まりじゃないですか
[17:04] 僕らそうじゃない人間というのは
[17:07] どうなんですかみたいな話が
[17:09] ちょっとあったときは別のちょっと変わっとるんですけど
[17:11] まずはとにかく
[17:13] 十分らしい七からしい個性を
[17:15] 前面に出してほっけです
[17:17] その弱みとなるところが
[17:19] 個性に変わっていくから
[17:21] それを差し出すチームというのを
[17:23] これから作っていこうと思うので
[17:25] もう一つが
[17:27] 時代グリーンでちょっと
[17:29] 新卒の方が分かんないと思うんですけど
[17:31] 踊る大作戦ってのもありまして
[17:33] 犯人を捕まえる
[17:35] 掲示物語なんですけども
[17:37] マスター・マサヨシというのは別の映画
[17:39] なんですよ
[17:41] でもこの本編では
[17:43] 超サブキャラなしいんですよね
[17:45] 僕もちょっとしか見たいんで
[17:47] 本編はあんまり言ったんですけども
[17:49] いわゆるインテリ系の掲示で
[17:51] なか人を捕まえてはするよりも
[17:53] 内勤のような仕事をしている
[17:55] 人なんですけども
[17:57] こっちのいわゆるスピーオンした映画というのは
[17:59] なんか
[18:01] 電車が
[18:03] 電車ジャックになって
[18:05] 犯人と直接話せないけども
[18:07] マスター・マサヨシというのは
[18:09] 何が一番の強みかと言ったら
[18:11] ネオシエーションです
[18:13] 交渉することがめちゃくちゃどうなります
[18:15] この犯人を
[18:17] 力強くの掲示とかでやるというのは無理で
[18:19] どっちかと交渉でその範囲を捕まえていく
[18:21] これがまさにも思ったんですけど
[18:24] 自分たちの
[18:26] 本当の掲示の形ではないですけども
[18:28] その強みというのは何か
[18:30] 個性なんです
[18:32] その個性を皆さん全面に出して
[18:38] 必ずさせてくると思っているので
[18:41] そういう地位を作り上げたいなと
[18:43] 皆さんが主人公
[18:45] だけども弱みである個性すらも
[18:47] 強みに変えられるような組織
[18:49] ちょっと今年やりたいことが文化として
[18:51] 作りたいのが3つあって
[18:53] 特にこれは僕も含めて
[18:55] ジョンソープというか
[18:57] 役インジンのところで
[18:59] とにかくここは工芸していきたいですけども
[19:01] よくあると
[19:03] 心理的安全性という言葉があるんですけども
[19:05] これはもうエリエスマルですけど
[19:07] Googleがチームを何百チームを作って
[19:09] 一番優秀なチームはなりなかったら
[19:11] 安心安全皆さんが
[19:13] 気になつことなく発言できたチーム
[19:15] というのはめちゃくちゃ優秀だったんです
[19:17] そういうケラシ文化じゃなくて
[19:19] 商産でも認められるような文化
[19:21] というのをこの一年で
[19:23] 作り上げたいと思ってます
[19:25] なので不安ないと発言 行動ができる状態だとか
[19:27] これが最強チームの
[19:29] 土台だと思ってます
[19:31] それについて加えて
[19:33] これまで医分会長がよく言いますけども
[19:35] とにかく感謝
[19:37] 感謝っていうのはちょっとゼロ
[19:39] なおかつ使いかつかうこと
[19:41] 相手と呼ぶともし
[19:43] 自分も式が上がるようなことは
[19:45] あとは承認
[19:47] コストゼロの最強エンディーなので
[19:49] 承認と感謝というのを
[19:51] 典型的に文化として使わしたい
[19:53] 壁打ち文化
[19:55] ウィーティングっていうのは
[19:57] 法国のための資料を作るんではなくて
[19:59] 壁打ちの延長で物事が決まっていくような
[20:01] ちょっといいですかっていう
[20:03] 物が一分二分で話す
[20:05] できるような会議帯を作っていきたい
[20:07] とにかくスピードに行えるような
[20:09] 文化を作っていきたいと思います
[20:11] 最後は今作ったARの形なんですけども
[20:13] とにかくAIっていうのは
[20:15] 面倒したいですね
[20:17] 皆さんに会ってほしいことは何かって言ったら
[20:19] 書いたりと見て
[20:21] メンバーとのコミュニケーションだとか
[20:23] その人とのマネージベントとか
[20:25] コーチングだとか
[20:27] そういったことに徹底的に
[20:29] 違うわけです
[20:31] なのでAIを削り合いするんじゃなくて
[20:33] AIを学んで
[20:35] 人間力を学ぶと
[20:37] 多分この先はめちゃくちゃ優秀な人材として
[20:39] 必要とされる人材になるので
[20:41] この2つを徹底的にこれからのAR使って
[20:43] 7発
[20:45] 皆さんが人間力を高めていけるような
[20:47] どんどん効働をして
[20:49] 能力を高めて成長して
[20:51] ってほしいような文化を作っていきたいと思います
[20:53] 結果
[20:56] さっき話したことをちょっとまとめると
[20:58] 人間がイネクを有聴させること
[21:00] で 成長のどんどんアップ
[21:02] このガイドブックに書いたり
[21:04] このままですね 研修します
[21:06] ガイドブックに書いたりとおり
[21:08] ロードマップが書いたりので人間力を高めていく
[21:10] 私は真理的安全性を担保するような
[21:12] チーム運営をしていく
[21:14] で AIが使う
[21:16] 壁打ち文化だとか
[21:18] そういった文化を広めて
[21:20] いろんな人種がある対応性
[21:22] これらを皆さんが全員で100%出してほしいです
[21:24] 100%
[21:27] いいやじゃなくて自分には必ず
[21:29] 価値がある 個性がある
[21:31] その個性を全面に出して
[21:33] そのチームに会社に100%
[21:35] それを出して
[21:38] それをするとはじめすぎると思ってます
[21:40] いろんなことをするんですけども
[21:42] 結局それって何度かにやってるかって
[21:44] 先にちょっと縮まさないんですけども
[21:46] 人間くらい成長していくことが
[21:48] 本質的には一番大事なんですよ
[21:51] 一斉を達成するって正直に変えてきた
[21:53] なので皆さんが
[21:55] 今言ったことをね 会社に
[21:59] 自分の個性を全面に出してくる
[22:01] 自分の甲骨部分を愛したり
[22:07] って変えてるんですけども
[22:09] とにかく
[22:11] 宇宙のアイテムを紹介すると
[22:13] まだ時間ある
[22:16] あとに結構ぶっ飛んだ人たちも多くて
[22:20] 社外で言うとクスノスなんとかは
[22:22] 金融が誰も
[22:25] クスノスなんで
[22:27] カムラさんっていうのはもう
[22:29] 教育大学を卒業して
[22:31] 大学の教授だったのに
[22:33] 副会長にまんまとちょっと
[22:35] チクロのせられて
[22:37] 少しちょっとこっちで
[22:39] こっちでしてもらっているような方ですね
[22:41] で 敷子エフィーのメンバーっていうのも
[22:43] 金井さんは
[22:45] スタバル創業メンバーのたちとかね
[22:47] 海外に100点くらいやっている
[22:49] すごく優秀な方
[22:51] で 敷子エフィーっていうのは
[22:53] 今年表現から上映しましたけど
[22:55] なんかちょっとぶっ飛んだコロナで
[22:57] コロナののに会社立ち上げちゃう
[22:59] ぶっ飛んだ人たち
[23:01] ヤムリョは
[23:03] 社長会長に呼ばれたら
[23:05] 福岡からバイクでトンプンまで来るような
[23:07] ちょっと頭おかしいやつやし
[23:09] あと材料で
[23:11] ワームリスさんの方ね
[23:13] どのくらい本当にいい会社立ちでも
[23:15] ゴミットさんとかね
[23:17] コロナさんはちょっと来てない感じですけど
[23:19] めちゃくちゃ優秀な
[23:21] 関西区の杉本さんも
[23:24] 言ったら
[23:26] やめだやめろっていうのもしてるけど
[23:28] とにかくいろんな会社の
[23:30] やめるのやってるし
[23:32] 言えなかったのが
[23:34] 前段になるとちょっと変態な
[23:37] 言うのしてる
[23:40] あってますか
[23:46] 自社
[23:51] ごちそうさまでした
[23:54] すごくいい人だから
[23:56] とにかくそういう人たちが
[24:01] めちゃくちゃ楽しいぶっ飛んでる
[24:03] 今日ね集まってる方たちも
[24:05] わざわざこの入社式
[24:07] 泡美城ために集まっていただいてるので
[24:09] そういう興味があるかかわっちゃうんです
[24:11] そういう人たちを
[24:13] どんどん巻き込んで
[24:15] さっきねちばされてみたいに
[24:17] 日本とかね世界を変えられなくて
[24:19] 会社だと思うので
[24:21] 皆さんが本当にやらない限りは
[24:23] これは会社の仕組み
[24:25] 皆さんの支援でまいりますので
[24:27] 皆さんに力合わせてこの目標を
[24:29] 目的に発展させていきましょう
[24:31] 以上です ありがとうございます
